Work Title,Subdivision Title,Line
green eggs and ham by doctor seuss,stanza 1,i am sam i am sam sam i am
green eggs and ham by doctor seuss,stanza 2,that samiam that samiam i do not like that samiam
green eggs and ham by doctor seuss,stanza 3,do would you like green eggs and ham
green eggs and ham by doctor seuss,stanza 4,i do not like themsamiam
green eggs and ham by doctor seuss,stanza 4,i do not like green eggs and ham
green eggs and ham by doctor seuss,stanza 5,would you like them here or there
green eggs and ham by doctor seuss,stanza 6,i would not like them here or there
green eggs and ham by doctor seuss,stanza 6,i would not like them anywhere
green eggs and ham by doctor seuss,stanza 6,i do not like green eggs and ham
green eggs and ham by doctor seuss,stanza 6,i do not like them samiam
green eggs and ham by doctor seuss,stanza 7,would you like them in a house
green eggs and ham by doctor seuss,stanza 7,would you like then with a mouse
green eggs and ham by doctor seuss,stanza 8,i do not like them in a house
green eggs and ham by doctor seuss,stanza 8,i do not like them with a mouse
green eggs and ham by doctor seuss,stanza 8,i do not like them here or there
green eggs and ham by doctor seuss,stanza 8,i do not like them anywhere
green eggs and ham by doctor seuss,stanza 8,i do not like green eggs and ham
green eggs and ham by doctor seuss,stanza 8,i do not like them samiam
green eggs and ham by doctor seuss,stanza 9,would you eat them in a box
green eggs and ham by doctor seuss,stanza 9,would you eat them with a fox
green eggs and ham by doctor seuss,stanza 10,not in a box not with a fox
green eggs and ham by doctor seuss,stanza 10,not in a house not with a mouse
green eggs and ham by doctor seuss,stanza 10,i would not eat them here or there
green eggs and ham by doctor seuss,stanza 10,i would not eat them anywhere
green eggs and ham by doctor seuss,stanza 10,i would not eat green eggs and ham
green eggs and ham by doctor seuss,stanza 10,i do not like them samiam
green eggs and ham by doctor seuss,stanza 11,would you could you in a car
green eggs and ham by doctor seuss,stanza 11,eat them eat them here they are
green eggs and ham by doctor seuss,stanza 12,i would not could not in a car
green eggs and ham by doctor seuss,stanza 13,you may like them you will see
green eggs and ham by doctor seuss,stanza 13,you may like them in a tree
green eggs and ham by doctor seuss,stanza 14,i would not could not in a tree
green eggs and ham by doctor seuss,stanza 14,not in a car you let me be
green eggs and ham by doctor seuss,stanza 14,i do not like them in a box
green eggs and ham by doctor seuss,stanza 14,i do not like them with a fox
green eggs and ham by doctor seuss,stanza 14,i do not like them in a house
green eggs and ham by doctor seuss,stanza 14,i do not like them with a mouse
green eggs and ham by doctor seuss,stanza 14,i do not like them here or there
