Artist,Song,Lyrics
Lana Del Ray,Young and Beautiful,"I've seen the world, done it all
Had my cake now
Diamonds, brilliant, and Bel Air now


Hot summer nights, mid-July
When you and I were forever wild
The crazy days, city lights
The way you'd play with me like a child


Will you still love me when I'm no longer young and beautiful?
Will you still love me when I got nothing but my aching soul?
I know you will, I know you will, I know that you will
Will you still love me when I'm no longer beautiful?


I've seen the world, lit it up as my stage now
Channeling angels in the new age now


Hot summer days, rock and roll
The way you'd play for me at your show
And all the ways I got to know
Your pretty face and electric soul
See Lana Del Rey LiveGet tickets as low as $160You might also like
Will you still love me when I'm no longer young and beautiful?
Will you still love me when I got nothing but my aching soul?
I know you will, I know you will, I know that you will
Will you still love me when I'm no longer beautiful?


Dear Lord, when I get to Heaven
Please, let me bring my man
When he comes, tell me that You'll let him in
Father, tell me if You can
All that grace, all that body
All that face makes me wanna party
He's my sun, he makes me shine like diamonds


And will you still love me when I'm no longer young and beautiful?
Will you still love me when I got nothin' but my aching soul?
I know you will, I know you will, I know that you will
Will you still love me when I'm no longer beautiful?


Will you still love me when I'm no longer beautiful?
Will you still love me when I'm not young and beautiful?"
Lana Del Ray,Summertime Sadness,"Kiss me hard before you go
Summertime sadness
I just wanted you to know
That, baby, you the best


I got my red dress on tonight
Dancin' in the dark, in the pale moonlight
Done my hair up real big, beauty queen style
High heels off, I'm feelin' alive


Oh my God, I feel it in the air
Telephone wires above are sizzlin' like a snare
Honey, I'm on fire, I feel it everywhere
Nothin' scares me anymore (One, two, three, four)


Kiss me hard before you go
Summertime sadness
I just wanted you to know
That, baby, you the best


I got that summertime, summertime sadness
Su-su-summertime, summertime sadness
Got that summertime, summertime sadness
Oh, oh, oh
See Lana Del Rey LiveGet tickets as low as $160You might also like
I'm feelin' electric tonight
Cruisin' down the coast, goin' 'bout 99
Got my bad baby by my heavenly side
I know, if I go, I'll die happy tonight


Oh my God, I feel it in the air
Telephone wires above are sizzlin' like a snare
Honey, I'm on fire, I feel it everywhere
Nothin' scares me anymore (One, two, three, four)


Kiss me hard before you go
Summertime sadness
I just wanted you to know
That, baby, you the best


I got that summertime, summertime sadness
Su-su-summertime, summertime sadness
Got that summertime, summertime sadness
Oh, oh, oh


Think I'll miss you forever
Like the stars miss the sun in the morning sky
Later's better than never
Even if you're gone, I'm gonna drive (Drive)
Drive

I got that summertime, summertime sadness
Su-su-summertime, summertime sadness
Got that summertime, summertime sadness
Oh, oh, oh


Kiss me hard before you go
Summertime sadness
I just wanted you to know
That, baby, you the best


I got that summertime, summertime sadness
Su-su-summertime, summertime sadness
Got that summertime, summertime sadness
Oh, oh, oh"
Lana Del Ray,West Coast,"Down on the West coast, they got a sayin'
""If you're not drinkin', then you're not playin'""
But you've got the music
You've got the music in you, don't you?
Down on the West coast, I get this feeling like
It all could happen, that's why I'm leaving
You for the moment, you for the moment
Boy Blue, yeah, you


You're falling hard, I push away, I'm feelin' hot to the touch
You say you miss me and I wanna say I miss you so much
But something keeps me really quiet, I'm alive, I'm a lush
Your love, your love, my love


I can see my baby swinging
His Parliament's on fire and his hands are up
On the balcony and I'm singing
Ooh, baby, ooh, baby, I'm in love
I can see my sweet boy swaying
He's crazy y cubano como yo, la-la
On the balcony and I'm saying
Move, baby, move, baby, I'm in love
I'm in love (I'm in love)
I'm in love (I'm in love)
See Lana Del Rey LiveGet tickets as low as $160You might also like
(Mic-check)
(One, two)
(Two, two)
(Get it, girl)


Down on the West coast, they got their icons
Their silver starlets, their Queens of Saigons
And you've got the music
You've got the music in you, don't you?
Down on the West coast, they love their movies
Their golden gods and rock 'n' roll groupies
And you've got the music
You've got the music in you, don't you?


You push it hard, I pull away, I'm feeling hotter than fire
I guess that no one ever really made me feel that much higher
Te deseo, cariño, boy, it's you I desire
Your love, your love, my love


I can see my baby swinging
His Parliament's on fire and his hands are up
On the balcony and I'm singing
Ooh, baby, ooh, baby, I'm in love
I can see my sweet boy swaying
He's crazy y cubano como yo, la-la
On the balcony and I'm saying
Move, baby, move, baby, I'm in love
I can see my baby swinging
His Parliament's on fire and his hands are up
On the balcony and I'm singing
Ooh, baby, ooh, baby, I'm in love
I can see my sweet boy swaying
He's crazy y cubano como yo, la-la
On the balcony and I'm saying
Move, baby, move, baby, I'm in love

I'm in love
I'm in love"
Lana Del Ray,A&W,"I haven't done a cartwheel since I was nine
I haven't seen my mother in a long, long time
I mean, look at me
Look at the length of my hair and my face, the shape of my body
Do you really think I give a damn
What I do after years of just hearing them talking?


I say I live in Rosemead, really, I'm at the Ramada
It doesn't really matter, doesn't really, really matter


Call him up, ""Come into my bedroom""
Ended up, we fuck on the hotel floor
It's not about havin' someone to love me anymorе
This is the experiеnce of bein' an American whore


Called up one drunk, called up another
Forensic Files wasn't on
Watching Teenage Diary of a Girl
Wondering what went wrong
I'm a princess, I'm divisive
Ask me why, why, why I'm like this
Maybe I'm just kinda like this
I don't know, maybe I'm just like this
See Lana Del Rey LiveGet tickets as low as $160You might also like
I say I live in Rosemead, really, I'm at the Ramada
It doesn't really matter, doesn't really, really matter


Call him up, he comes over again
Yeah, I know I'm over my head, but, oh
It's not about havin' someone to love me anymore
No, this is the experience of bein' an American whore


I mean, look at my hair
Look at the length of it and the shape of my body
If I told you that I was raped
Do you really think that anybody would think
I didn't ask for it? I didn't ask for it
I won't testify, I already fucked up my story
On top of this (Mm), so many other things you can't believe
Did you know a singer can still be
Looking like a sidepiece at thirty-three?
Got a cop who turned on the backbeat
Puts the shower on while he calls me
Slips out the back door to talk to me
I'm invisible, look how you hold me
I'm invisible, I'm invisible
I'm a ghost now, look how you hold me now

It's not about havin' someone to love me anymore (Oh, okay)
No, this is the experience of bein' an American whore
It's not about havin' someone to love me anymore
No, this is the experience of bein' an American whore



This is the experience of bein' an American whore
This is the experience of bein' an American whore
This is the experience of bein' an American whore
Woo


Jimmy, Jimmy, cocoa puff, Jimmy, Jimmy, ride
Jimmy, Jimmy, cocoa puff, Jimmy, get me high (Oh my god)
Love me if you love or not, you can be my light
Jimmy only love me when he wanna get high
Jimmy only love me when he wanna get high
Jimmy only love me when he wanna get high
Jimmy only love me when he wanna get high
Your mom called, I told her, you're fuckin' up big time


Your mom called, I told her, you're fuckin' up big time

Jimmy, Jimmy, cocoa puff, Jimmy, Jimmy, ride
Jimmy, Jimmy, cocoa puff, Jimmy, get me high
Love me if you live and love, you can be my light (Mm)
Jimmy only love me when he wanna get high
Jimmy only love me when he wanna get high
Jimmy only love me when he wanna get high
Jimmy only love me when he wanna get high
Your mom called, I told her, you're fuckin' up big time


Jimmy, you should switch it up, baby, light it up (Yeah)
Jimmy, if you leave the house, find me in the club (Like)
Jimmy, if you switch it up, you should light it up
Jimmy, if you leave the house, find me in the club (Like, surf's up)
Your mom called, I told her, you're fuckin' up big time
But I don't care, baby, I already lost my mind
Jimmy, if I lie it up, find me in the club (Mind, mind)
Your mom called, I told her, you're fucking up big time


Jimmy, Jimmy, cocoa puff, Jimmy, Jimmy, ride
Jimmy, Jimmy, cocoa puff, Jimmy, get me high
Love me if you love or not, you can be my light
Jimmy only love me when he wanna get high
Jimmy only love me when he wanna get high
Jimmy only love me when he wanna get high
Jimmy only love me when he wanna get high
Your mom called, I told her, you're fuckin' up big time"
Lana Del Ray,Video Games,"Swingin' in the backyard, pull up in your fast car
Whistlin' my name
Open up a beer and you say, ""Get over here
And play a video game""
I'm in his favorite sundress, watching me get undressed
Take that body downtown
I say, ""You the bestest,"" lean in for a big kiss, put his favorite perfume on
""Go play your video game""


It's you, it's you, it's all for you, everything I do
I tell you all the time, Heaven is a place on Earth with you
Tell me all the things you wanna do
I heard that you like the bad girls, honey, is that true?
It's better than I ever even knew
They say that the world was built for two
Only worth living if somebody is loving you
And baby, now you do


Mmm


Singin' in the old bars, swinging with the old stars
Livin' for the fame
Kissin' in the blue dark, playing pool and wild darts
Video games
He holds me in his big arms, drunk, and I am seeing stars
This is all I think of
Watchin' all our friends fall in and out of Old Paul's, this is my idea of fun
Playin' video games
See Lana Del Rey LiveGet tickets as low as $160You might also like
It's you, it's you, it's all for you, everything I do
I tell you all the time, Heaven is a place on Earth with you
Tell me all the things you wanna do
I heard that you like the bad girls, honey, is that true?
It's better than I ever even knew
They say that the world was built for two
Only worth living if somebody is loving you
And baby, now you do


(N-now you do, now you do, now you do)
(N-now you do, now you do, now you do)


It's you, it's you, it's all for you, everything I do
I tell you all the time, Heaven is a place on Earth with you
Tell me all the things you wanna do
I heard that you like the bad girls, honey, is that true?
It's better than I ever even knew
They say that the world was built for two
Only worth living if somebody is loving you
And baby, now you do


(N-now you do, now you do, now you do)
Mmm, now you do
(N-now you do, now you do, now you do)"
Lana Del Ray,Love,"Look at you, kids, with your vintage music
Comin' through satellites while cruisin'
You're part of the past, but now you're the future
Signals crossing can get confusin'


It's enough just to make you feel crazy, crazy, crazy
Sometimes, it's enough just to make you feel crazy


You get ready, you get all dressed up
To go nowhere in particular
Back to work or the coffee shop
Doesn't matter 'cause it's enough
To be young and in lo-ove
To be young and in lo-ove


Look at you, kids, you know you're the coolest
The world is yours and you can't refuse it
Seen so much, you could get the blues
But that don't mean that you should abuse it


Though it's enough just to make you go crazy, crazy, crazy
I know, it's enough just to make you go crazy, crazy, crazy
See Lana Del Rey LiveGet tickets as low as $160You might also like
But you get ready, you get all dressed up
To go nowhere in particular
Back to work or the coffee shop
It don't matter because it's enough
To be young and in lo-ove
To be young and in lo-ove


Mmm (Ah-ah)
Mmm (Ah-ah-ah-ah)
Mmm
Don't worry, baby
Mmm (Ah-ah)
Mmm (Ah-ah-ah-ah)
Mmm
Don't worry, baby


And it's enough just to make me go crazy, crazy, crazy
It's enough just to make me go crazy, crazy, crazy


I get ready, I get all dressed up
To go nowhere in particular
It doesn't matter if I'm not enough
For the future or the things to come
'Cause I'm young and in lo-ove
I'm young and in lo—, lo-lo-lo, love

Mmm (Ah-ah)
Mmm (Ah-ah-ah-ah)
Mmm
Don't worry, baby
Mmm (Ah-ah)
Mmm (Ah-ah-ah-ah)
Mmm
Don't worry, baby
Mmm (Ah-ah)
Mmm (Ah-ah-ah-ah)
Mmm
Don't worry, baby"
Lana Del Ray,Norman fucking Rockwell,"Goddamn, man-child
You fucked me so good that I almost said ""I love you""
You're fun and you’re wild
But you don't know the half of the shit that you put me through
Your poetry's bad and you blame the news
But I can’t change that, and I can't change your mood, ah


'Cause you're just a man
It's just what you do
Your head in your hands
As you color me blue
Yeah, you're just a man
All through and through
Your head in your hands
As you color me blue
Blue, blue, blue

Goddamn, man-child
You act like a kid even though you stand six foot two
Self-loathing poet, resident Laurel Canyon know-it-all
You talk to the walls when the party gets bored of you
But I don't get bored, I just see it through
Why wait for the best when I could have you? You?
See Lana Del Rey LiveGet tickets as low as $160You might also like
'Cause you’re just a man
It’s just what you do
Your head in your hands
As you color me blue
Yeah, you're just a man
All through and through
Your head in your hands
As you color me blue
Blue, blue
You make me blue


Blue, blue
Blue, blue, blue
Blue, blue, blue"
Lana Del Ray,Born To Die,"Why? (Got that?)
Who? Me? (Louder)
Why? (Got that?)


Feet don't fail me now, take me to the finish line
Oh, my heart, it breaks every step that I take
But I'm hoping that the gates, they'll tell me that you're mine
Walking through the city streets, is it by mistake or design?
I feel so alone on a Friday night
Can you make it feel like home if I tell you you're mine?
It's like I told you, honey (Louder)


Don't make me sad, don't make me cry
Sometimes, love is not enough
And the road gets tough, I don't know why
Keep makin' me laugh, let's go get high
The road is long, we carry on
Try to have fun in the meantime


Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane (Louder, alright)
Choose your last words, this is the last time
'Cause you and I, we were born to die
See Lana Del Rey LiveGet tickets as low as $160You might also like
Lost, but now I am found
I can see that, once, I was blind
I was so confused as a little child
Tried to take what I could get, scared that I couldn't find
All the answers, honey (Louder)


Don't make me sad, don't make me cry
Sometimes, love is not enough
And the road gets tough, I don't know why
Keep makin' me laugh, let's go get high
The road is long, we carry on
Try to have fun in the meantime


Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane (Louder, alright)
Choose your last words, this is the last time
'Cause you and I, we were born to die


(We were born to die, we were born to die)
We were born to die
(We were born to die, we were born to die, we were born to die)
We were born to die
Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane

So don't make me sad, don't make me cry
Sometimes, love is not enough
And the road gets tough, I don't know why
Keep makin' me laugh, let's go get high
The road is long, we carry on
Try to have fun in the meantime


Come and take a walk on the wild side
Let me kiss you hard in the pouring rain
You like your girls insane (Louder, alright)
Choose your last words, this is the last time
'Cause you and I, we were born to die


(Louder)
(We were born to die, we were born to die)
We were born to die
(We were born to die, we were born to die)
(We were born to die, we were born to die)
(Louder)
(We were born to die, we were born to die)
(We were born to die, we were born to die)
(Louder)
(We were born to die, we were born to die)
(We were born to die, we were born to die)
(Louder)
(We were born to die, we were born to die)
(We were born to die, we were born to die)
(Got that?)
(Louder)"
Lana Del Ray,Lust for Life,"Oh


Climb up the H of the Hollywood sign (Yeah)
In these stolen moments, the world is mine
There's nobody here, just us together
Keepin' me hot like July forever
'Cause we're the masters of our own fate
We're the captains of our own souls
There's no way for us to come late
'Cause, boy, we're gold, boy, we're gold
And I was like


Take off, take off, take off all your clothes
Take off, take off, take off all your clothes
Take off, take off, take off all of your clothes
They say only the good die young
That just ain't right
'Cause we're having too much fun
Too much fun tonight, yeah


And a lust for life (And a lust for life)
And a lust for life (And a lust for life)
Keeps us alive (Keeps us alive)
Keeps us alive (Keeps us alive)
And a lust for life (And a lust for life)
And a lust for life (And a lust for life)
Keeps us alive (Keeps us alive)
Keeps us alive (Keeps us alive)
(Then)
See Lana Del Rey LiveGet tickets as low as $160You might also like
We dance on the H of the Hollywood sign (Yeah)
'Til we run out of breath, gotta dance 'til we die
My boyfriend's back (Oh-oh) and he's cooler than ever (Woah)
There's no more night, blue skies forever
'Cause we're the masters of our own fate
We're the captains of our own souls
So there's no need for us to hesitate
We're all alone, let's take control
And I was like


Take off, take off, take off all your clothes
Take off, take off, take off all your clothes
Take off, take off, take off all of your clothes
They say only the good die young
That just ain't right
'Cause we're havin' too much fun
Too much fun tonight, yeah


And a lust for life (And a lust for life)
And a lust for life (And a lust for life)
Keeps us alive (Keeps us alive)
Keeps us alive (Keeps us alive)
And a lust for life (And a lust for life)
And a lust for life (And a lust for life)
Keeps us alive (Keeps us alive)
Keeps us alive (Keeps us alive)
Oh

My boyfriend's back and he's cooler than ever
There's no more night, blue skies forever
I told you twice in our love letter
There's no stopping now, green lights forever
And I was like


Take off, take off, take off all your clothes
Take off, take off, take off all your clothes
Take off, take off, take off all of your clothes


And a lust for life (And a lust for life)
And a lust for life (And a lust for life)
Keeps us alive (Keeps us alive)
Keeps us alive (Keeps us alive)
And a lust for life (And a lust for life)
And a lust for life (And a lust for life)
Keeps us alive (Keeps us alive)
Keeps us alive (Keeps us alive)
Oh"
Lana Del Ray,​hope is a dangerous thing for a woman like me to have - but i have it,"I was reading Slim Aarons and I got to thinking that I thought
Maybe I'd get less stressed if I was tested less like
All of these debutantes
Smiling for miles in pink dresses and high heels on white yachts
But I'm not, baby, I'm not
No, I'm not, that, I'm not


I've been tearing around in my fucking nightgown
24/7 Sylvia Plath
Writing in blood on my walls
'Cause the ink in my pen don't work in my notepad
Don't ask if I'm happy, you know that I'm not
But at best, I can say I'm not sad
'Cause hope is a dangerous thing for a woman like me to have
Hope is a dangerous thing for a woman like me to have


I had 15-year dances
Church basement romances, yeah, I've cried
Spilling my guts with the Bowery Bums
Is the only love I've ever known
Except for the stage, which I also call home, when I'm not
Servin' up God in a burnt coffee pot for the triad
Hello, it's the most famous woman you know on the iPad
Calling from beyond the grave, I just wanna say, ""Hi, Dad""
See Lana Del Rey LiveGet tickets as low as $160You might also like
I've been tearing up town in my fucking white gown
Like a goddamn near sociopath
Shaking my ass is the only thing that's
Got this black narcissist off my back
She couldn't care less, and I never cared more
So there's no more to say about that
Except hope is a dangerous thing for a woman like me to have
Hope is a dangerous thing for a woman with my past


There's a new revolution, a loud evolution that I saw
Born of confusion and quiet collusion of which mostly I've known
A modern day woman with a weak constitution, 'cause I've got
Monsters still under my bed that I could never fight off
A gatekeeper carelessly dropping the keys on my nights off


I've been tearing around in my fucking nightgown
24/7 Sylvia Plath
Writing in blood on your walls
'Cause the ink in my pen don't look good in my pad
They write that I'm happy, they know that I'm not
But at best, you can see I'm not sad
But hope is a dangerous thing for a woman like me to have
Hope is a dangerous thing for a woman like me to have

Hope is a dangerous thing for a woman like me to have
But I have it
Yeah, I have it
Yeah, I have it
I have"
